昵称,地区,时间,评论
昵称,地区,时间,评论
老李头儒雅随和,来自福建,2022-10-19 15:59:35,这是要去广州吗
期末考试必过的mata杰,来自湖南,2022-11-02 20:12:39,<a href='/n/FxxkingBureaucracy'>@FxxkingBureaucracy</a>
末世冰尘,来自广东,2022-11-02 18:27:51,大预言家了属于是
Sherlock_先生,来自湖南,2022-10-27 11:59:22,老李头是懂尼格的
加糖蜜桃酱,来自广东,2022-10-25 12:24:57,该加餐了[doge]
2022虎年订制id祝福我俩,来自广东,2022-10-21 23:39:56,笑一笑，功德+1有效[兔子]
风中狂奔一匹马,来自广东,2022-10-21 14:23:51,你是懂儒雅随和的[笑哈哈]
多小支的豌豆射手,来自福建,2022-10-21 02:08:37,<a href='/n/什么时候能有钱啊'>@什么时候能有钱啊</a>
老李头儒雅随和,来自福建,2022-10-20 20:39:48,"回复<a href='/n/来自东方之珠的高中生'>@来自东方之珠的高中生</a>:""[哇]""""[哇]""""[哇]""""[哇]""""[哇]""""[哇]""""[哇]""""[哇]""""[哇]"""
酱紫真的好吗_,来自广东,2022-10-20 20:37:27,台风可以来广州，但今晚必须吃了你[doge]
椒麻碳烤拉拉肥,来自安徽,2022-10-20 17:12:37,<a href='/n/功瑾哥哥'>@功瑾哥哥</a> xs
奥列莉亚owo,来自广东,2022-10-20 17:03:00,广州？广坎达!
鸡味圈L,来自河北,2022-10-20 16:18:55,你是懂广州的[doge]
dashanmeng11,来自广东,2022-10-20 13:32:58,ip福建是吧[哼]
one轻声密语,来自广东,2022-10-20 13:10:49,明天煲仔饭的原料就你了[doge]
你先告诉咱你是谁,来自江苏,2022-10-20 11:11:59,你是懂尼格的[doge]
星辰丶吸猫者,来自上海,2022-10-20 08:52:20,你是懂台风的[doge]
H0rchen,来自广东,2022-10-19 21:01:00,明天煲仔饭的原料就你了[doge]
小松别东望岱,来自新疆,2022-10-19 20:19:16,笑拉了[doge]
ZAFKIEK-bet,来自甘肃,2022-10-19 19:35:33,这个台风有爸爸吗？
年年光棍节,来自黑龙江,2022-10-25 21:14:12,妈妈生的
Max_129,来自山东,2022-10-25 11:38:33,<a href='/n/iamyqq_'>@iamyqq_</a> ？
二代百晓生hl,来自福建,2022-10-25 09:41:28,上帝明鉴，我天生微笑唇
感觉我要裂开了,来自江苏,2022-10-21 11:40:10,回复<a href='/n/乌拉拉小蘑仙'>@乌拉拉小蘑仙</a>:扣1佛祖一起笑
乌拉拉小蘑仙,来自辽宁,2022-10-21 02:19:40,一秒功德笑没了[doge]
一颗百忧解_,来自浙江,2022-10-20 09:54:04,什么地狱笑话
5月7日小羽,来自青海,2022-10-19 15:48:59,尼格[doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge]
岩仓-玲音,来自中国澳门,2022-10-20 00:19:42,图片评论
unicorn_猪笑,来自湖南,2022-10-25 17:43:52,这里是China！
嘉然今天吃丁真捏,来自云南,2022-10-19 20:35:44,可以种棉花吗[爱你]
乱舞西瓜刀,来自广东,2022-10-20 08:47:21,会采棉花
Shiftkawaiii,来自北京,2022-10-19 19:48:21,这名字太好了 有一种天然的美[太开心]
香辣辣花生,来自广东,2022-10-22 13:46:39,来口悦刻
TTAO666,来自海南,2022-10-21 09:36:47,有一种种植园的美[doge]
太上有极仙驱,来自贵州,2022-10-21 08:54:52,有一种大西洋人鱼的美[doge]
乱舞西瓜刀,来自广东,2022-10-20 08:49:20,有一种三角贸易的美
星辰丶吸猫者,来自上海,2022-10-19 21:49:42,这名字不错，今年棉花一定能大丰收[太开心]
瘦的也怕热,来自上海,2022-10-19 16:27:48,尼格狂怒[doge]
吃饭叫我cf,来自广东,2022-10-19 16:25:12,尼格买提[doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge]
晋元帝_司马睿,来自江苏,2022-10-21 12:33:46,小泥 哥[doge]
emo上网患者,来自广东,2022-10-19 21:10:47,尼格in china
卡士厨,来自广东,2022-10-20 21:55:55,回复<a href='/n/KitsuneRingo'>@KitsuneRingo</a>:[doge]
KitsuneRingo,来自福建,2022-10-20 21:16:51,回复<a href='/n/卡士厨'>@卡士厨</a>:kanye west和jay-z嘛[doge][doge][doge][doge][doge][doge][doge][doge][doge]
SirozzZ,来自贵州,2022-10-20 17:34:26,回复<a href='/n/卡士厨'>@卡士厨</a>:尼格斯坦
emo上网患者,来自广东,2022-10-20 14:53:24,回复<a href='/n/卡士厨'>@卡士厨</a>:尼格s
卡士厨,来自广东,2022-10-20 14:00:50,那谁在巴黎？
龙卷风摧毁园游会,来自江西,2022-10-19 19:48:21,阳光彩虹小白马
乱舞西瓜刀,来自广东,2022-10-20 08:50:10,阳光采棉小黑马
恐惧战驴,来自中国香港,2022-10-20 13:04:03,这名字是来源于韩语的날개（翅膀）发音纳尔给 能译成尼格是真的离谱。。。[哆啦A梦害怕]
闪光的假面猫仆卫士,来自福建,2022-10-25 10:53:24,[允悲]学到了
怎么想也不会错cjc,来自辽宁,2022-10-24 20:42:31,回复<a href='/n/库布里克1920'>@库布里克1920</a>:因为是朝鲜国给予的名称，自然要用人家的发音更准确[doge]
Fredzz201904,来自韩国,2022-10-23 10:52:41,回复<a href='/n/约翰神'>@约翰神</a>:你= 니가=niga[doge]
织羽Plume,来自天津,2022-10-21 20:14:32,回复<a href='/n/库布里克1920'>@库布里克1920</a>:台风命名好像是亚洲几个国家一起想几个名字
Blood0range,来自黑龙江,2022-10-21 12:38:52,我也觉得，好离谱
约翰神,来自广东,2022-10-21 11:18:46,韩语我记得有个词发音是nigga
特瑞带肥鲨正在搜寻,来自广西,2022-10-21 00:39:01,回复 <a href='/n/库布里克1920'>@库布里克1920</a>:那你换成朝鲜语也行
库布里克1920,来自天津,2022-10-20 18:41:33,为啥是韩语呢？求教
萨瓦图恩的榜一,来自上海,2022-10-20 13:08:59,不觉得很酷吗😎
Bobbiesizer,来自湖北,2022-10-19 16:36:09,你哥来了，那撒子溜了[笑而不语]
你不要过来啊jpg,来自山东,2022-10-20 13:31:34,一首“阳光彩虹小白马”助你抵御台风
背锅侠侠侠侠灬,来自辽宁,2022-10-20 08:41:46,什么黑旋风[doge]
pikachu的熊,来自四川,2022-10-20 09:27:25,滴滴滴滴哒
卡士厨,来自广东,2022-10-20 13:59:48,Hey yo wassup my n1994
海洋预报梁土鳖,来自北京,2022-10-19 15:54:48,纳沙走了，你哥来了
唯一指定怪话Bot,来自江苏,2022-10-19 20:16:27,呱！是台风尼格呀
K4RM4_,来自山东,2022-10-20 17:56:42,有一种被当成商品的美
陌上清浅-,来自北京,2022-10-19 15:45:53,好的
猫咪Kitty王者凯旋,来自广东,2022-10-21 10:04:55,这注定得来广州了
DGC_H,来自广东,2022-10-20 18:42:01,黑旋风是吧[doge]
微生终轮,来自河南,2022-10-19 15:20:15,时刻关注
陆陆昵昵,来自安徽,2022-10-20 05:17:47,来点雨吧
太上有极仙驱,来自贵州,2022-10-19 21:10:43,好自由的尼格啊[doge]
什么dinner,来自广东,2022-10-19 19:33:06,你是懂取名的[泪][泪][泪][泪]
----夜闌----,来自广东,2022-10-22 14:42:13,很有攻击性的名字
BK0717-有丶亚撒西,来自黑龙江,2022-10-20 20:08:01,过境之处纷纷怀孕🤣
茨小球球,来自江西,2022-10-20 19:03:41,龙卷风摧毁棉花场
NaiveGang,来自广东,2022-10-19 21:06:18,尼格
Leewaihou,来自广东,2022-10-25 09:55:27,<a href='/n/南小鸟男朋友'>@南小鸟男朋友</a> 你最爱的倪哥
童不错,来自上海,2022-10-25 09:44:52,<a href='/n/MartinLRH'>@MartinLRH</a>
癞疙宝小蔡,来自福建,2022-10-23 03:26:17,大张伟台风[哆啦A梦害怕]
不锈钢的木门,来自广东,2022-10-21 09:31:33,好怪[思考]
星河倒退,来自广东,2022-10-20 15:17:53,<a href='/n/鱼子酱_167'>@鱼子酱_167</a> 评论区地狱笑话
鱼子酱_167,来自广东,2022-10-20 15:30:03,是海底的尼格起来了吗？
首席訫动官,来自新疆,2022-10-19 21:48:31,来我这 我这棉花多
JR五条wu花肉,来自浙江,2022-10-21 14:38:13,什么黑旋风啊[doge]
鍍鵶,来自黑龙江,2022-10-21 18:16:33,哈哈哈哈哈哈哈哈蚌埠住了[嘻嘻]
爆棚哥,来自广东,2022-10-20 16:16:20,这个台风直接登陆广州小北路
凭撒为撒你姓撒,来自陕西,2022-10-20 12:43:48,倪哥自由翱翔是吧[doge]
