昵称,地区,时间,评论
知道不知道的cc,来自浙江,2022-10-27 09:39:32,朝鲜怎么提供这种名字[doge]
班尼迪克点,来自陕西,2022-10-29 08:52:30,回复<a href='/n/张飞字益达'>@张飞字益达</a>:轮到朝鲜而已
梦天实验舱,来自海南,2022-10-28 00:35:06,回复<a href='/n/还是vulcano'>@还是vulcano</a>:思密达[舔屏][舔屏][舔屏][舔屏]
LillyZooKingOfOx,来自广东,2022-10-27 22:25:54,哪个 [doge]
还是vulcano,来自英国,2022-10-27 18:26:43,날개 nalgae 翅膀的意思 “哪er盖”这个音才对 怎么翻译成。。。[doge]
张飞字益达,来自江西,2022-10-27 17:43:03,为什么是朝鲜提供名字
怀·秋,来自福建,2022-10-27 09:57:08,这名字黑人朋友看见了可要零元购的
太玄三一狮,来自广东,2022-10-27 17:16:20,放几个👮🏻♂️ 👮🏻♂️ 这个就没事了[doge]
安琪落英,来自山西,2022-10-27 17:12:54,回复<a href='/n/鱼池or鱼翅'>@鱼池or鱼翅</a>:抢
鱼池or鱼翅,来自上海,2022-10-27 16:58:12,"不懂就问啥意思""[上课了]"""
村里的小韭菜,来自广东,2022-10-27 09:46:56,尼什么？？
nomadwjj,来自陕西,2022-10-27 09:49:40,这什么名字[二哈]
Bigcakelee,来自上海,2022-10-27 14:39:54,尼逵
呒诉,来自浙江,2022-10-27 09:54:19,黑旋风[doge]
杨小羊_xx,来自浙江,2022-10-27 10:10:48,去福建吧，旱死了
喵呜咪嘎嘎嘎,来自福建,2022-11-02 08:37:46,来了，大风小雨，乖台风。
1626958231_913,来自福建,2022-10-27 19:43:33,福建不欢迎尼格
maplehh,来自浙江,2022-10-27 17:57:03,温州也一样
杨小羊_xx,来自浙江,2022-10-27 16:31:33,回复<a href='/n/lunatique156'>@lunatique156</a>:???
lunatique156,来自波兰,2022-10-27 15:58:26,Fujian is blacked?
woshiyiduiluanmaenluanma,来自北京,2022-10-27 09:44:31,买提吗？[坏笑]
儒雅书香,来自福建,2022-10-27 09:50:59,我也是这样想
我不是你爹地daady,来自海南,2022-10-27 12:41:21,直奔广州吗[色]
劫后余生惪之翼,来自上海,2022-10-27 19:23:34,尼格回家[awsl]
东海神罐,来自广东,2022-10-27 10:43:17,图片评论
呒诉,来自浙江,2022-10-27 11:50:10,是好台风[泪]
靈山之秀水,来自广西,2022-10-27 10:42:30,别回朝鲜，来华南玩玩！[doge]
一脑袋高粱花子,来自吉林,2022-10-28 21:36:15,这台风名称是不是周边受影响的国家轮着起啊？
班尼迪克点,来自陕西,2022-10-29 08:52:57,是的
广州今天入秋了吗,来自广东,2022-10-27 09:42:04,恩？看这路径像是要去粤东和胡建？[鼓掌]
乖乖yezi,来自浙江,2022-10-27 09:41:55,来浙江吗？太干旱了。
迷惘的小农夫,来自广东,2022-10-27 20:01:32,对梦天实验舱发射有没有影响？
